draw,horizon,n_oob,c_base,c_thy,delta
280,,2962,0.7942483271453032,0.7947073759492334,0.0004590488039301066
281,,2984,0.7797513681080568,0.7830879701388669,0.0033366020308100985
282,,3000,0.7870581958621732,0.7910442299883854,0.0039860341262122345
283,,2986,0.7944800990157012,0.7967548177295939,0.0022747187138927316
284,,2949,0.8005343750716705,0.8014861589976071,0.0009517839259366445
285,,2967,0.7981318436202234,0.802590456713358,0.004458613093134667
286,,2992,0.7877558294150708,0.7883826683398988,0.0006268389248279549
287,,2995,0.7636283291502904,0.7654783870646117,0.0018500579143212459
288,,2946,0.8086247407383065,0.8102324476199745,0.001607706881668003
289,,2975,0.7907073343615044,0.7943505974067042,0.003643263045199796
290,,2965,0.7896680373055579,0.7905813585226011,0.0009133212170432392
291,,2973,0.781697657715175,0.7859485355732014,0.0042508778580264694
292,,3025,0.8069038945365778,0.8072654463669028,0.00036155183032493543
293,,2970,0.7950829487339404,0.7990969190470251,0.004013970313084703
294,,3010,0.7909743807101818,0.7955378167090515,0.004563435998869769
295,,2997,0.7890397325736397,0.7886062907184117,-0.0004334418552279784
296,,2967,0.7826009729592964,0.7833536299406691,0.0007526569813727235
297,,2965,0.7822725364611846,0.7838326160976652,0.001560079636480638
298,,2915,0.771729521425513,0.7729033958038273,0.001173874378314288
299,,2978,0.7969389042033764,0.8009464095891856,0.004007505385809185
300,,2995,0.7963310000987635,0.7980074785189482,0.0016764784201847016
301,,2959,0.7822450922902286,0.7851824554419226,0.002937363151693906
302,,2982,0.8036941952119802,0.8055698600581118,0.0018756648461316638
303,,3000,0.7884715063663472,0.792684055047011,0.004212548680663786
304,,2951,0.8072633412354023,0.8107563838600924,0.003493042624690079
305,,2939,0.7933598258248875,0.7956504099868461,0.0022905841619585976
306,,2963,0.8101745548114534,0.810562857076291,0.00038830226483765884
307,,3011,0.7950920652672082,0.7969993731672163,0.0019073079000080373
308,,2998,0.8085100238475269,0.8128363450971506,0.0043263212496237324
309,,2993,0.7789544345251165,0.7796520637151264,0.0006976291900099296
310,,2940,0.7737433852170269,0.7768186450234589,0.0030752598064319736
